metric,combo,n,datasets,models,actual_drop,expected_drop,interaction,interaction_median,interaction_std,super_additive_rate
macro_f1,All Three,29160,24,9,0.4491868374358467,0.2849553401624193,0.16423149727342745,0.14545115498458083,0.1977531542726937,0.8037037037037037
macro_f1,Missing+Imbalance,9720,24,9,0.24606721418182562,0.2138807756178978,0.032186438563927784,0.019821531993983954,0.07208967651704493,0.724485596707819
macro_f1,Noise+Imbalance,9720,24,9,0.38836323748734086,0.20923968177919638,0.17912355570814448,0.14271913929870278,0.171570027676905,0.8843621399176955
macro_f1,Noise+Missing,9720,24,9,0.13229008541908965,0.1467902229277443,-0.01450013750865463,-0.004289319967695326,0.048009473997359255,0.422119341563786
balanced_accuracy,All Three,29160,24,9,0.416621689394809,0.2734942931105296,0.14312739628427942,0.1220983904868172,0.18076458360973263,0.7981824417009602
balanced_accuracy,Missing+Imbalance,9720,24,9,0.23971926328543078,0.21145206598986604,0.028267197295564737,0.017069059894736116,0.07096566346136547,0.7063786008230453
balanced_accuracy,Noise+Imbalance,9720,24,9,0.36484865089363705,0.1976772835668208,0.16717136732681626,0.13585145422007405,0.15591850581959243,0.8992798353909465
balanced_accuracy,Noise+Missing,9720,24,9,0.1266079814798933,0.13785923666437236,-0.011251255184479057,-0.003782332273297051,0.042983255456909605,0.43220164609053496
accuracy,All Three,29160,24,9,0.3614665252421146,0.23674148819577864,0.1247250370463359,0.08717459379615966,0.18205372825467103,0.7294581618655692
accuracy,Missing+Imbalance,9720,24,9,0.20609146171595324,0.18004545771693517,0.026046003999018085,0.009865849055724685,0.06601346388329331,0.6809670781893004
accuracy,Noise+Imbalance,9720,24,9,0.3213614374830161,0.17817843551926077,0.14318300196375533,0.09573459894155972,0.16487987806425128,0.8119341563786008
accuracy,Noise+Missing,9720,24,9,0.10681770284082187,0.11525908315536133,-0.008441380314539466,-0.0035587188612098974,0.03213643905802787,0.4156378600823045
mcc,All Three,29160,24,9,0.5220590041766694,0.36210792604419495,0.15995107813247447,0.15427145510782686,0.22012875236466903,0.7825788751714677
mcc,Missing+Imbalance,9720,24,9,0.28359819575452766,0.25390124757376625,0.029696948180761434,0.02242880885474069,0.08169486410135403,0.6929012345679012
mcc,Noise+Imbalance,9720,24,9,0.4441395881051296,0.2533648463216003,0.19077474178352935,0.1581313851563101,0.1847489648665513,0.8727366255144033
mcc,Noise+Missing,9720,24,9,0.19510234530434065,0.21694975819302348,-0.02184741288868282,-0.005650768454425803,0.07536903578192393,0.42232510288065844
minority_recall,All Three,29160,24,9,0.5608388479159705,0.3705969025392083,0.19024194537676217,0.18062200956937793,0.34146858704887617,0.7571330589849108
minority_recall,Missing+Imbalance,9720,24,9,0.3294889354013199,0.29777797016278196,0.03171096523853795,0.021720969089390224,0.15323302913264633,0.6171810699588477
minority_recall,Noise+Imbalance,9720,24,9,0.4934300021940434,0.2638593571864891,0.22957064500755436,0.20000000000000007,0.2998594615388196,0.8171810699588478
minority_recall,Noise+Missing,9720,24,9,0.16282528662938936,0.1795564777291455,-0.01673119109975614,-0.005235602094240899,0.09627284489726788,0.41903292181069957
