model_name,mean_drop,median_drop,clean_macro_f1,corrupted_macro_f1,mean_fit_seconds
LogisticRegression,0.2790716191432848,0.24087434981598757,0.8098029423012321,0.5307313231579471,0.28812671957671954
LinearSVM,0.29262038243309435,0.2474982606692023,0.7966640922665953,0.5040437098335009,0.09934805555555555
KNN,0.2952842072899715,0.24298726341664956,0.8255281992005676,0.530243991910596,0.20070654761904763
DecisionTree,0.3118991455321871,0.29692758767044175,0.8409209996957562,0.5290218541635691,0.12303650793650793
HistGradientBoosting,0.3166995557540664,0.27185169302954637,0.9093477944773356,0.5926482387232691,1.502077566137566
LightGBM,0.31960778426548364,0.2664574894437464,0.9100362726673968,0.5904284884019132,0.8184942195767196
XGBoost,0.32274998621729806,0.2630206734647292,0.904640335026121,0.581890348808823,0.5215387301587302
RandomForest,0.3494694300025138,0.2979588063844981,0.8993936259287427,0.549924195926229,0.7684277248677249
ExtraTrees,0.3530829557977323,0.3029739313188409,0.8941994907344687,0.5411165349367364,0.47223845238095236
