metric,combination,n_rows,n_datasets,mean_interaction,dataset_cluster_mean,ci_low,ci_high,mean_actual_drop,mean_expected_drop,mean_bounded_interaction,mean_relative_clean_interaction
accuracy,all_three_excess_over_singles,24300,20,0.01494251751567846,0.01494251751567846,-0.013492014585663577,0.04894352927924491,0.12828679321606543,0.11334427570038699,0.01494251751567846,0.015189054453368918
accuracy,missing_imbalance,8100,20,0.0031940224145548582,0.003194022414554859,-0.0037516115494273744,0.01217230179542881,0.05866800117396205,0.0554739787594072,0.0031940224145548582,0.003295183723243692
accuracy,noise_imbalance,8100,20,0.02714341604146132,0.027143416041461327,0.0007527373114531406,0.056988726717691195,0.11442440515550462,0.0872809891140433,0.02714341604146132,0.029963695995139174
accuracy,noise_missing,8100,20,-0.005691472260198754,-0.005691472260198754,-0.011870869490691015,-0.00011336893260204754,0.07824211126712473,0.08393358352732345,-0.005691472260198754,-0.005333588886469283
balanced_accuracy,all_three_excess_over_singles,24300,20,0.04465950731196647,0.04465950731196647,0.013736936425196683,0.08066642051248382,0.18820548856635158,0.14354598125438514,0.044668639931783154,0.047520196851769725
balanced_accuracy,missing_imbalance,8100,20,0.006137617521475755,0.006137617521475754,-0.003908175452626861,0.019266321039947937,0.09991551641163175,0.09377789889015602,0.006137617521475755,0.005363795772863607
balanced_accuracy,noise_imbalance,8100,20,0.06147701374319089,0.06147701374319089,0.03665674926180552,0.08967237877421161,0.1632777834055816,0.10180076966239071,0.06147701374319089,0.07233545806916745
balanced_accuracy,noise_missing,8100,20,-0.011187620196019507,-0.011187620196019505,-0.01819571816208292,-0.0044227096409210085,0.08032567376020402,0.09151329395622353,-0.011187620196019507,-0.01444957156867076
macro_f1,all_three_excess_over_singles,24300,20,0.0573196329480229,0.05731963294802289,0.02139435472698221,0.09705022509605953,0.22650579737758372,0.16918616442956078,0.057479264680702254,0.06401263987629842
macro_f1,missing_imbalance,8100,20,0.009731601116317708,0.009731601116317708,6.316172903844829e-05,0.022092654751303252,0.11543202029568425,0.10570041917936655,0.009740168670544613,0.010824157998642482
macro_f1,noise_imbalance,8100,20,0.07183855970417732,0.07183855970417731,0.044450082646801184,0.10319193200439519,0.19757059381981457,0.12573203411563721,0.07185827103732904,0.08636477740591934
macro_f1,noise_missing,8100,20,-0.014519883960968467,-0.014519883960968465,-0.0233687464541584,-0.006077211106452838,0.09241999160314936,0.10693987556411781,-0.014519883960968467,-0.019040626097027814
mcc,all_three_excess_over_singles,24300,20,0.054024112175713214,0.054024112175713214,0.011703318248409061,0.09833996990682527,0.3077414609586695,0.2537173487829562,0.06666403642132994,0.006956197961835295
mcc,missing_imbalance,8100,20,0.003809236934174938,0.0038092369341749385,-0.007892002396066935,0.01669944484952873,0.1390452022427807,0.13523596530860577,0.0061825424299257106,-0.03434368041453934
mcc,noise_imbalance,8100,20,0.08859616886980444,0.08859616886980445,0.05652318481742304,0.1238982703474458,0.26603975469457497,0.17744358582477054,0.09050501413048416,0.13712515210600246
mcc,noise_missing,8100,20,-0.023938001774086882,-0.023938001774086885,-0.03970887194226899,-0.008786455905543772,0.1708171446584493,0.1947551464325362,-0.01767359066853817,-0.060120452165548524
minority_recall,all_three_excess_over_singles,24300,20,0.11461887673534515,0.11461887673534514,0.059283956728513436,0.16994987510124326,0.3471668457155468,0.2325479689802017,0.1321358795083011,0.2655222789365333
minority_recall,missing_imbalance,8100,20,0.01753018160066711,0.017530181600667112,-0.00432440139053112,0.04347399250112079,0.21275889260867684,0.19522871100800973,0.02515000767381946,0.034257981145635885
minority_recall,noise_imbalance,8100,20,0.13596042957518392,0.13596042957518392,0.09163674931231527,0.1805225377886825,0.30109159820493575,0.16513116862975186,0.14147438379043817,0.29210885868946385
minority_recall,noise_missing,8100,20,-0.021626578634611072,-0.021626578634611072,-0.0345804398750312,-0.007887956226142464,0.08310947968803074,0.10473605832264181,-0.018762534652773222,-0.043205825838827025
