model_name,clean_macro_f1,mean_macro_f1_all_settings,absolute_drop_from_clean,relative_drop
DecisionTree,0.7060322516764649,0.554082796006955,0.1519494556695099,0.20928747355044738
LightGBM,0.7406172684826953,0.5831899154310268,0.15742735305166844,0.20697315137968111
HistGradientBoosting,0.7391944887952314,0.5809589535932769,0.15823553520195455,0.20842555832176693
KNN,0.7022386681798988,0.5431398822586594,0.15909878592123938,0.22028561046472558
LogisticRegression,0.697989120463392,0.5382845804370636,0.1597045400263284,0.22243309191545224
XGBoost,0.7409218000129661,0.5799675183562952,0.16095428165667092,0.2115253915105708
LinearSVM,0.6881305945056462,0.5266839198791259,0.1614466746265203,0.22798997230055848
RandomForest,0.7304076850710501,0.5656719366495034,0.1647357484215467,0.21952833332983415
ExtraTrees,0.7218860708688404,0.5509358475448801,0.17095022332396026,0.23042651700382566
