condition_name,process_family,train_n,clean_minority_retention_rate,effective_clean_minority_ratio,clean_true_majority_ratio_retained,clean_true_min_class_count_retained,mislabeled_retained_ratio
clean_equal_size,equal_size,2337.0583333333334,0.4772163092449326,0.2001120981255166,0.4247935084676259,579.225,0.0
clean_full,shared,4198.5,1.0,0.2003108894975108,0.42426926718431596,908.5,0.0
compound_clean_label_imbalance_then_noise,clean_sampling_control,2560.4087117701574,0.47341167208297785,0.22141508414001426,0.8130479664975839,381.2937905468026,0.19934681703146281
compound_fixed_current_indices_noisy_labels,fixed_current_index,2341.8,0.3508220973858634,0.14868768649013797,0.7223288472180119,376.1,0.18079580998724412
compound_original_equal_size,equal_size,2339.1455050973123,0.34853720678098116,0.148625238967823,0.7226609328020992,376.1223354958295,0.18086858100520392
compound_original_noise_then_observed_imbalance,original,2341.8,0.3508220973858634,0.14868768649013797,0.7223288472180119,376.1,0.18079580998724412
imbalance_matched_current_indices_clean_labels,fixed_current_index,2341.8,0.3508220973858634,0.14868768649013797,0.7223288472180119,376.1,0.0
imbalance_only_clean_sampling,shared,2558.116666666667,0.47300096752203863,0.22123185666559267,0.8130358850471232,380.94166666666666,0.0
imbalance_only_equal_size,equal_size,2337.0583333333334,0.4493792385041297,0.22139094133123544,0.8128503968242162,344.64166666666665,0.0
noise_only_equal_size,equal_size,2337.0583333333334,0.4772163092449326,0.2001120981255166,0.4247935084676259,579.225,0.20111682353985313
noise_only_full,shared,4198.5,1.0,0.2003108894975108,0.42426926718431596,908.5,0.19999561494912516
