task_type,label_noise,imbalance_level,clean_minority_retention_rate,effective_clean_minority_ratio,mislabeled_retained_ratio,mislabeled_minority_retained_ratio
binary,0.1,0.7,0.7768515522892423,0.2505214554441733,0.09526955190221034,0.1380991054078097
binary,0.1,0.8,0.5668657334717324,0.18967282857439152,0.08648486555686231,0.201102725903117
binary,0.1,0.9,0.33478940227985937,0.12141871405378916,0.07203052818773799,0.34886797475289977
binary,0.2,0.7,0.7515897512258564,0.25481378163363133,0.1879818714294865,0.2800482262780448
binary,0.2,0.8,0.5507739294529075,0.20770762017517394,0.16538933186288424,0.38673250145763344
binary,0.2,0.9,0.35574780881605916,0.15788189270284214,0.13684784316319382,0.582379016005854
binary,0.3,0.7,0.730588303303081,0.2694893998907259,0.2716619384499958,0.4190471079243413
binary,0.3,0.8,0.5567393834045677,0.23929828423111102,0.23792030448540574,0.5479136677060031
binary,0.3,0.9,0.4203336912382952,0.2083205112373035,0.2045118646700469,0.7253499723904241
multiclass,0.1,0.7,0.2784808432596356,0.11171597562282409,0.10083655150106616,0.19707305161237967
multiclass,0.1,0.8,0.23195117354837477,0.1048142377172282,0.10245347418851695,0.2596101957708414
multiclass,0.1,0.9,0.16399234311728728,0.09368667154257815,0.09999448113219393,0.42215474239031026
multiclass,0.2,0.7,0.2350602076068877,0.08159118463585953,0.19633436284244724,0.4071984073410255
multiclass,0.2,0.8,0.17343410494150072,0.06917729680164672,0.19162239458903915,0.5207093900705583
multiclass,0.2,0.9,0.10807095922356837,0.05432484544854063,0.18559981840382167,0.6742512084912708
multiclass,0.3,0.7,0.28047336886308905,0.11623875966522924,0.29135301734753527,0.5071023326684022
multiclass,0.3,0.8,0.22062181108439763,0.11189094047090968,0.2863436478237658,0.5923362305093427
multiclass,0.3,0.9,0.1710296991089516,0.10594511151513411,0.2766787974181984,0.7232542514447909
